feature_id,feature_name,vt_index,orig_index,orig_col
0,core__t2__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0,0,core__t2__log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis
1,core__flair__wavelet-LLH_glcm_MCC,1,1,core__flair__wavelet-LLH_glcm_MCC
2,core__t1__wavelet-LHL_firstorder_Skewness,2,2,core__t1__wavelet-LHL_firstorder_Skewness
3,core__t1ce__wavelet-LLL_firstorder_10Percentile,3,3,core__t1ce__wavelet-LLL_firstorder_10Percentile
4,core__t2__wavelet-HHL_glcm_Correlation,4,4,core__t2__wavelet-HHL_glcm_Correlation
5,core__flair__original_glszm_SmallAreaLowGrayLevelEmphasis,5,5,core__flair__original_glszm_SmallAreaLowGrayLevelEmphasis
6,core__t1ce__wavelet-LHL_firstorder_Skewness,6,6,core__t1ce__wavelet-LHL_firstorder_Skewness
7,core__t2__wavelet-HLL_firstorder_Median,7,7,core__t2__wavelet-HLL_firstorder_Median
8,core__t1__wavelet-HLL_glrlm_RunEntropy,8,8,core__t1__wavelet-HLL_glrlm_RunEntropy
9,core__t1ce__wavelet-LLL_firstorder_RootMeanSquared,9,9,core__t1ce__wavelet-LLL_firstorder_RootMeanSquared
10,core__t1ce__wavelet-LLH_firstorder_Skewness,10,10,core__t1ce__wavelet-LLH_firstorder_Skewness
11,core__t2__wavelet-LLH_firstorder_Median,11,11,core__t2__wavelet-LLH_firstorder_Median
12,core__t2__wavelet-LLH_glcm_MaximumProbability,12,12,core__t2__wavelet-LLH_glcm_MaximumProbability
13,core__t1ce__wavelet-LHH_firstorder_Skewness,13,13,core__t1ce__wavelet-LHH_firstorder_Skewness
14,core__t1__wavelet-LHL_glszm_SmallAreaEmphasis,14,14,core__t1__wavelet-LHL_glszm_SmallAreaEmphasis
15,core__t1ce__wavelet-LHH_glszm_SmallAreaEmphasis,15,15,core__t1ce__wavelet-LHH_glszm_SmallAreaEmphasis
16,core__t1__wavelet-LHL_firstorder_Median,16,16,core__t1__wavelet-LHL_firstorder_Median
17,core__t1ce__wavelet-HLH_glszm_ZoneEntropy,17,17,core__t1ce__wavelet-HLH_glszm_ZoneEntropy
18,core__t1ce__wavelet-HLL_glcm_Correlation,18,18,core__t1ce__wavelet-HLL_glcm_Correlation
19,core__t1__wavelet-HLH_glszm_SmallAreaEmphasis,19,19,core__t1__wavelet-HLH_glszm_SmallAreaEmphasis
20,core__t2__wavelet-LLL_firstorder_Kurtosis,20,20,core__t2__wavelet-LLL_firstorder_Kurtosis
21,core__flair__wavelet-LLH_firstorder_Skewness,21,21,core__flair__wavelet-LLH_firstorder_Skewness
22,core__t1ce__wavelet-LLL_firstorder_Kurtosis,22,22,core__t1ce__wavelet-LLL_firstorder_Kurtosis
23,core__flair__log-sigma-0-5-mm-3D_glszm_ZoneEntropy,23,23,core__flair__log-sigma-0-5-mm-3D_glszm_ZoneEntropy
24,core__flair__wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,24,24,core__flair__wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis
25,core__flair__wavelet-LLL_glszm_SmallAreaEmphasis,25,25,core__flair__wavelet-LLL_glszm_SmallAreaEmphasis
26,core__t2__wavelet-HLH_firstorder_Mean,26,26,core__t2__wavelet-HLH_firstorder_Mean
27,core__t2__wavelet-LLH_gldm_DependenceVariance,27,27,core__t2__wavelet-LLH_gldm_DependenceVariance
28,core__t1__wavelet-LHL_glcm_ClusterShade,28,28,core__t1__wavelet-LHL_glcm_ClusterShade
29,core__t1__wavelet-LLL_firstorder_RootMeanSquared,29,29,core__t1__wavelet-LLL_firstorder_RootMeanSquared
30,core__t1__log-sigma-3-0-mm-3D_glcm_Imc1,30,30,core__t1__log-sigma-3-0-mm-3D_glcm_Imc1
31,core__t1ce__log-sigma-3-0-mm-3D_gldm_DependenceVariance,31,31,core__t1ce__log-sigma-3-0-mm-3D_gldm_DependenceVariance
32,core__t2__wavelet-LLH_glcm_Correlation,32,32,core__t2__wavelet-LLH_glcm_Correlation
33,core__t1__log-sigma-0-5-mm-3D_glcm_Imc1,33,33,core__t1__log-sigma-0-5-mm-3D_glcm_Imc1
34,core__flair__wavelet-LHL_firstorder_Median,34,34,core__flair__wavelet-LHL_firstorder_Median
35,core__flair__wavelet-HLL_firstorder_Skewness,35,35,core__flair__wavelet-HLL_firstorder_Skewness
36,core__t2__wavelet-HHH_firstorder_Skewness,36,36,core__t2__wavelet-HHH_firstorder_Skewness
37,core__t1__wavelet-LLH_glszm_ZoneEntropy,37,37,core__t1__wavelet-LLH_glszm_ZoneEntropy
38,core__t1ce__wavelet-LHL_ngtdm_Contrast,39,39,core__t1ce__wavelet-LHL_ngtdm_Contrast
39,core__t1ce__wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,40,40,core__t1ce__wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis
40,core__t1ce__wavelet-HLL_firstorder_Mean,41,41,core__t1ce__wavelet-HLL_firstorder_Mean
41,core__t1ce__wavelet-HHH_glcm_ClusterShade,42,42,core__t1ce__wavelet-HHH_glcm_ClusterShade
42,core__t2__wavelet-LHL_glcm_InverseVariance,43,43,core__t2__wavelet-LHL_glcm_InverseVariance
43,core__flair__log-sigma-1-0-mm-3D_glcm_MCC,44,44,core__flair__log-sigma-1-0-mm-3D_glcm_MCC
44,core__t1__log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,45,45,core__t1__log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis
45,core__t1__original_gldm_DependenceNonUniformityNormalized,46,46,core__t1__original_gldm_DependenceNonUniformityNormalized
46,core__flair__log-sigma-3-0-mm-3D_glcm_ClusterShade,47,47,core__flair__log-sigma-3-0-mm-3D_glcm_ClusterShade
47,core__t1ce__wavelet-LHL_glszm_ZoneEntropy,48,48,core__t1ce__wavelet-LHL_glszm_ZoneEntropy
48,core__t1__wavelet-LLH_firstorder_Skewness,49,49,core__t1__wavelet-LLH_firstorder_Skewness
49,core__t1__wavelet-LHH_firstorder_Skewness,50,50,core__t1__wavelet-LHH_firstorder_Skewness
50,core__flair__wavelet-HHL_glcm_InverseVariance,51,51,core__flair__wavelet-HHL_glcm_InverseVariance
51,core__t2__wavelet-HLH_firstorder_Kurtosis,52,52,core__t2__wavelet-HLH_firstorder_Kurtosis
52,core__t2__wavelet-LLL_ngtdm_Complexity,53,53,core__t2__wavelet-LLL_ngtdm_Complexity
53,core__t2__wavelet-HLL_glcm_ClusterShade,54,54,core__t2__wavelet-HLL_glcm_ClusterShade
54,core__t1ce__original_glszm_SmallAreaLowGrayLevelEmphasis,55,55,core__t1ce__original_glszm_SmallAreaLowGrayLevelEmphasis
55,core__t1__log-sigma-3-0-mm-3D_firstorder_Median,56,56,core__t1__log-sigma-3-0-mm-3D_firstorder_Median
56,core__t2__wavelet-LHH_firstorder_Skewness,57,57,core__t2__wavelet-LHH_firstorder_Skewness
57,core__t2__wavelet-LLL_ngtdm_Strength,58,58,core__t2__wavelet-LLL_ngtdm_Strength
58,core__t1ce__wavelet-HHL_firstorder_Skewness,59,59,core__t1ce__wavelet-HHL_firstorder_Skewness
59,core__t1__log-sigma-1-0-mm-3D_glcm_Imc1,60,60,core__t1__log-sigma-1-0-mm-3D_glcm_Imc1
60,core__flair__wavelet-LLL_glszm_GrayLevelVariance,61,61,core__flair__wavelet-LLL_glszm_GrayLevelVariance
61,core__t1ce__wavelet-HHH_glszm_SmallAreaEmphasis,62,62,core__t1ce__wavelet-HHH_glszm_SmallAreaEmphasis
62,core__t1__wavelet-LLL_ngtdm_Complexity,63,63,core__t1__wavelet-LLL_ngtdm_Complexity
